instance_index,original_test_index,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,predicted_class,prediction_score,target_credit
65,804,2,12,3,1,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1,0,0.315,0
66,833,2,24,3,4,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,1,0,0.185,0
67,764,4,24,5,1,2463,2,4,4,4,1,3,2,27,3,2,2,3,1,2,1,0,0.1,0
68,361,3,12,3,4,3399,5,5,2,3,1,3,3,37,3,2,1,4,1,1,1,0,0.105,0
69,502,3,9,3,4,1126,2,5,2,1,1,4,1,49,3,2,1,3,1,1,1,0,0.165,0
70,319,1,15,4,3,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,1,1,0,0.245,0
71,21,1,6,3,4,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,0,0.14,0
72,287,2,48,4,10,7582,2,1,2,3,1,4,4,31,3,3,1,4,1,2,1,0,0.38,0
73,895,4,36,4,2,8947,5,4,3,3,1,2,3,31,2,2,1,4,2,2,1,0,0.135,0
74,192,2,27,3,9,3915,1,3,4,3,1,2,3,36,3,2,1,3,2,2,1,0,0.355,1
75,931,2,9,3,4,1670,1,2,4,2,1,2,3,22,3,2,1,3,1,2,1,0,0.29,1
76,118,1,33,5,3,4281,3,3,1,2,1,4,3,23,3,2,2,3,1,1,1,0,0.075,1
77,245,4,24,3,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,1,0,0.1,0
78,228,4,9,3,4,1478,1,4,4,3,1,2,3,22,3,2,1,3,1,1,1,0,0.02,1
79,146,1,6,5,1,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,1,0,0.28,0
80,288,2,12,3,4,1092,1,3,4,2,3,4,1,49,3,2,2,3,1,2,1,0,0.13,0
81,488,4,10,3,1,1418,2,3,3,3,1,2,1,35,3,1,1,2,1,1,2,0,0.11,0
82,93,3,24,5,3,3617,5,5,4,3,2,4,4,20,3,1,2,3,1,1,1,0,0.135,0
83,881,4,24,3,2,9277,5,3,2,1,1,4,4,48,3,3,1,3,1,2,1,0,0.205,0
84,916,4,10,3,2,2848,2,3,1,3,2,2,1,32,3,2,1,3,2,1,1,0,0.105,0
85,889,4,28,2,2,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,1,0,0.385,0
86,441,1,12,3,3,1620,1,3,2,2,2,3,2,30,3,2,1,3,1,1,1,0,0.17,0
87,666,2,30,2,3,3496,4,3,4,3,1,2,3,34,2,2,1,3,2,2,1,0,0.22,0
88,94,2,12,3,1,1318,4,5,4,3,1,4,1,54,3,2,1,3,1,2,1,0,0.225,0
89,848,1,9,3,4,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,1,0,0.365,0
90,942,4,24,3,3,929,5,4,4,3,1,2,3,31,2,2,1,3,1,2,1,0,0.12,0
91,310,2,48,3,10,5381,5,1,3,3,1,4,4,40,1,3,1,1,1,2,1,0,0.32,0
92,582,4,9,3,3,1388,1,3,4,2,1,2,1,26,3,1,1,3,1,1,1,0,0.135,0
93,297,4,10,3,1,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,2,0,0.285,0
94,587,1,12,3,3,1289,1,3,4,3,3,1,2,21,3,2,1,2,1,1,1,0,0.205,0
95,868,4,36,3,9,7409,5,5,3,3,1,2,2,37,3,2,2,3,1,1,1,0,0.19,0
96,9,2,30,5,1,5234,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,0,0.39,1
97,966,2,27,5,4,2520,3,3,4,3,1,2,2,23,3,2,2,2,1,1,1,0,0.11,1
98,537,2,18,5,3,3612,1,5,3,2,1,4,2,37,3,2,1,3,1,2,1,0,0.225,0
99,450,4,36,5,2,11054,5,3,4,3,1,2,3,30,3,2,1,4,1,2,1,0,0.24,0
100,485,2,6,4,1,1209,1,1,4,3,1,4,2,47,3,2,1,4,1,2,1,0,0.26,1
101,995,4,12,3,3,1736,1,4,3,2,1,4,1,31,3,2,1,2,1,1,1,0,0.11,0
102,199,2,18,4,3,4297,1,5,4,1,1,3,4,40,3,2,1,4,1,2,1,0,0.375,1
103,357,4,36,4,4,4463,1,3,4,3,1,2,3,26,3,2,2,4,1,2,1,0,0.06,1
104,586,1,9,5,1,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,0,0.105,0
105,160,4,24,5,4,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,1,0,0.08,0
106,330,1,24,5,2,6615,1,1,2,3,1,4,4,75,3,3,2,4,1,2,1,0,0.21,0
107,277,1,12,3,3,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1,0,0.265,0
108,987,4,13,3,4,1409,2,1,2,2,1,4,1,64,3,2,1,3,1,1,1,0,0.145,0
109,137,2,12,3,4,766,3,3,4,3,1,3,1,66,3,2,1,2,1,1,1,0,0.1,1
110,760,4,15,5,1,5045,5,5,1,2,1,4,3,59,3,2,1,3,1,2,1,0,0.12,0
111,248,3,24,3,3,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,1,0,0.385,0
112,51,2,27,4,2,5965,1,5,1,3,1,2,3,30,3,2,2,4,1,2,1,0,0.295,0
113,769,4,12,5,4,1655,1,5,2,3,1,4,1,63,3,2,2,2,1,2,1,0,0.025,0
114,156,1,9,5,6,1288,2,5,3,3,3,4,1,48,3,2,2,3,2,1,2,0,0.175,0
115,676,4,24,5,3,5150,1,5,4,3,1,4,3,33,3,2,1,3,1,2,1,0,0.055,0
116,453,4,24,3,2,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1,0,0.045,0
117,965,2,30,3,4,1715,5,3,4,2,1,1,3,26,3,2,1,3,1,1,1,0,0.14,0
118,214,4,36,5,4,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,1,0,0.015,0
119,104,4,12,3,2,2445,5,2,2,4,1,4,3,26,3,1,1,3,1,2,1,0,0.015,0
120,581,2,12,5,1,3124,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1,0,0.295,0
121,326,4,12,5,3,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,1,0,0.13,0
122,226,2,48,3,4,10961,4,4,1,3,2,2,4,27,1,2,2,3,1,2,1,0,0.355,1
123,905,1,12,3,4,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,1,0,0.295,0
124,159,4,6,5,4,1898,5,3,1,3,1,2,1,34,3,2,2,2,2,1,1,0,0.045,0
125,720,3,9,1,4,1337,1,2,4,3,1,2,3,34,3,2,2,4,1,2,1,0,0.38,1
126,515,1,6,5,1,609,1,4,4,2,1,3,2,37,3,2,2,3,1,1,2,0,0.215,0
127,389,4,9,3,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,1,1,1,0,0.065,0
128,267,4,24,3,4,1533,1,2,4,2,1,3,3,38,2,2,1,3,1,2,1,0,0.18,0
129,234,4,4,5,4,1544,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1,0,0.025,0
130,712,4,21,3,2,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,1,0,0.035,0
131,301,2,36,1,4,3804,1,3,4,2,1,1,3,42,3,2,1,3,1,2,1,0,0.395,1
132,344,3,10,3,1,3949,1,2,1,3,3,1,2,37,3,2,1,2,2,1,1,0,0.255,0
133,803,4,12,5,4,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1,0,0.01,0
134,282,3,18,2,4,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,1,0,0.275,0
135,700,4,12,3,3,1123,3,3,4,2,1,4,3,29,3,1,1,2,1,1,1,0,0.07,1
136,262,1,18,5,1,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1,0,0.35,0
137,861,4,18,4,9,2169,1,3,4,4,1,2,3,28,3,2,1,3,1,2,1,0,0.135,1
138,230,3,36,3,4,4210,1,3,4,3,1,2,3,26,3,2,1,3,1,1,1,0,0.115,1
139,109,2,14,3,9,1410,3,5,1,4,1,2,1,35,3,2,1,3,1,2,1,0,0.2,0
140,320,2,30,5,1,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,0,0.36,1
141,376,4,18,4,4,2320,1,1,2,4,1,3,1,34,3,2,2,3,1,1,1,0,0.32,0
142,594,1,24,2,10,1358,5,5,4,3,1,3,3,40,2,2,1,4,1,2,1,0,0.37,1
143,65,4,27,3,6,5190,5,5,4,3,1,4,2,48,3,2,4,3,2,2,1,0,0.23,0
144,401,2,18,5,9,1887,5,3,4,4,1,4,1,28,1,2,2,3,1,1,1,0,0.225,0
