instance_index,original_test_index,predicted_probability,SHAP_decile1,SHAP_decile3,SHAP_fam_inc,SHAP_lsat,SHAP_ugpa,SHAP_gender,SHAP_race1,SHAP_fulltime
46,2595,0.46,7.41073868937292e-15,9.232198339148567e-15,5.240599620925934e-15,7.466249840604178e-15,3.552713678800501e-15,3.434752482434078e-16,5.4626442258509655e-15,1.4606371667724716e-15
47,14060,0.5,6.9111383282915995e-15,1.0220990720455347e-14,5.27008992001754e-15,8.23646706393788e-15,4.961309141293668e-15,2.0469737016526324e-16,5.4539706084710815e-15,1.9255430583342559e-16
48,7665,0.5085562021555061,7.431555371084642e-15,7.341349750333848e-15,6.83481049534862e-15,7.525230438787389e-15,4.274358644806853e-15,2.1163626406917047e-16,5.082739784612045e-15,1.2750217548429532e-16
49,18127,0.51,7.239001065251216e-15,9.575673587391975e-15,5.304784389537076e-15,6.127043317150083e-15,5.0862092315639984e-15,1.9483113039564515e-16,5.221517662690189e-15,1.4224732503009818e-16
50,6994,0.44,7.417677583276827e-15,8.520961713998076e-15,6.1374516580059435e-15,7.868705687030797e-15,5.044575868140555e-15,2.5153490401663703e-16,4.211908599671688e-15,1.734723475976807e-16
51,19123,0.5536582144329617,7.436759541512572e-15,7.313594174718219e-15,6.166074595359561e-15,6.751543768501733e-15,3.4763858458575214e-15,4.68592178948235e-16,4.989064716909297e-15,1.8171228410857054e-16
52,5916,0.47,7.476658181460039e-15,1.0408340855860843e-14,6.5156213757688874e-15,8.458511668862911e-15,4.884981308350689e-15,-1.1102230246251565e-16,3.5839387013680835e-15,3.86843335142828e-16
53,19771,0.46,7.181755190543981e-15,1.0880185641326534e-14,6.0645932720149176e-15,8.215650382226158e-15,4.186755109270024e-15,2.3306280950291525e-16,5.88418203051333e-15,2.5673907444456745e-16
54,795,0.62,7.445433158892456e-15,8.854028621385623e-15,5.793325888459044e-15,7.303619514731352e-15,3.760880495917718e-15,1.2663481374630692e-16,5.028095995118775e-15,1.9038590148845458e-16
55,464,0.565997069963672,7.41073868937292e-15,9.2148511043888e-15,6.09061412415457e-15,7.822301834048417e-15,3.927413949611491e-15,2.1684043449710089e-16,3.514549762329011e-15,1.7428549922704484e-16
56,16392,0.6065981274095833,7.382983113757291e-15,9.173217740965356e-15,6.094950932844512e-15,7.299716386910404e-15,4.371503159461554e-15,2.0036056147532122e-16,3.563555700525356e-15,2.949029909160572e-16
57,4294,0.6986028829330317,6.467049118441537e-15,1.3062467774105357e-14,6.196432256189155e-15,5.197231534026514e-15,3.7968760080442365e-15,-4.0592529337857286e-16,4.218847493575595e-15,1.1535911115245767e-16
58,9991,0.6551900812578185,8.11156697366755e-15,7.993605777301127e-15,5.592748486549226e-15,7.015221736850208e-15,4.78089789979208e-15,6.591949208711867e-17,4.937890374367981e-15,8.413408858487514e-17
59,2606,0.48,6.7671562797855245e-15,1.0769163338864018e-14,5.9564441053094885e-15,7.275430258246729e-15,4.045375145977914e-15,4.0072112295064244e-16,4.777428452840127e-15,1.5352302762394743e-16
60,10147,0.5341238119716928,7.162673232308236e-15,9.738737594133795e-15,6.078471059822732e-15,7.706509042026966e-15,4.4287490341687885e-15,6.279698983036042e-16,3.853254521013483e-15,2.667137344314341e-16
61,7406,0.4,7.103692634125025e-15,9.62099323820187e-15,6.1825544683813405e-15,7.958043946043603e-15,5.599687380453133e-15,1.0130785099704553e-15,3.7903707950093235e-15,-5.204170427930421e-18
62,7338,0.8383939017215402,7.813194535799539e-15,9.048317650695026e-15,5.964738251929003e-15,7.191729850530848e-15,4.9231452248221785e-15,1.0061396160665481e-15,3.849351393192535e-15,3.0184188481996443e-16
63,10508,0.4085213268664946,7.414208136324874e-15,1.071365218763276e-14,6.192962809237201e-15,8.264222639553509e-15,4.624772786954168e-15,2.207435623180487e-16,3.434752482434078e-15,1.734723475976807e-16
64,16495,0.68,7.16093850883226e-15,9.728329253277934e-15,5.610095721308994e-15,7.53043460921532e-15,3.9517000782751666e-15,2.229119666630197e-16,4.961309141293668e-15,2.5196858488563123e-16
65,14573,0.4788660424698611,8.722189637211386e-15,5.6066262743570405e-15,7.216449660063518e-15,7.216449660063518e-16,4.864164626638967e-15,1.5498670055680286e-16,3.989863994746656e-15,2.662800535624399e-16
66,11616,0.5728261771801528,7.105427357601002e-15,9.152401059253634e-15,6.189493362285248e-15,6.529499163576702e-15,4.782198942399063e-15,3.707971429900425e-16,4.333339242990064e-15,2.2719456524433745e-16
67,10862,0.4649094808290174,6.977057820378718e-15,9.374445664178666e-15,6.262351748276274e-15,7.799316747991725e-15,4.739264536368637e-15,3.46077333457373e-16,3.726186026398182e-15,3.0270924655795284e-16
68,9788,0.5673585118360693,7.606762442158299e-15,8.43769498715119e-15,6.2987809412717866e-15,6.689093723366568e-15,4.371503159461554e-15,2.931682674400804e-16,4.166805789296291e-15,1.9992688060632702e-16
69,740,0.49,7.820133429703446e-15,1.0637324354689781e-14,7.834011217511261e-15,7.702172233337023e-15,5.204170427930421e-15,2.6020852139652106e-16,3.653327640407156e-15,1.6111244283134596e-16
70,7653,0.4393989425540887,7.507883204027621e-15,7.965850201685498e-15,7.029099524658022e-15,4.9404924595819466e-15,4.218847493575595e-15,1.8041124150158794e-16,5.512951206654293e-15,2.1510571102112408e-16
71,18473,0.7868181191878983,7.13318293321663e-15,7.896461262646426e-15,5.826936155806095e-15,7.531301970953308e-15,4.315992008230296e-15,1.1796119636642288e-16,5.224987109642143e-15,2.203098814490545e-16
72,10747,0.62,6.765421556309548e-15,8.895661984809067e-15,6.085626794161136e-15,7.469719287556131e-15,4.829470157119431e-15,-5.637851296924623e-17,5.4001941807158005e-15,1.3444106938820255e-16
73,9478,0.45,7.379513666805337e-15,9.783840404509192e-15,6.494804694057166e-15,8.000544671205034e-15,4.468647674116255e-15,4.0549161250957866e-17,5.2648857495896095e-15,2.42861286636753e-16
74,7742,0.44,7.077671781985373e-15,9.13852327144582e-15,5.7592819402429996e-15,6.983996714282625e-15,3.833738881908744e-15,1.457167719820518e-16,5.169042277541891e-15,1.7780915628762273e-16
75,20368,0.72,6.3976601794024646e-15,8.396061623727746e-15,5.9420784265240556e-15,7.764622278472189e-15,4.109126233720062e-15,8.066464163292153e-17,5.2475385148298415e-15,2.0990154059319366e-16
76,20218,0.53,7.542577673547157e-15,1.3072876114961218e-14,5.715913853343579e-15,5.717648576819556e-15,2.7113727929517495e-15,-3.3393426912553537e-16,3.767819389821625e-15,6.288372600415926e-17
77,19932,0.49,7.504413757075667e-15,1.0963452368173421e-14,6.0021432268797525e-15,5.814793091474257e-15,4.0332320816460765e-15,4.562322741819003e-16,5.732393726365359e-15,3.0357660829594124e-16
78,9740,0.41,7.764622278472189e-15,9.291178937331779e-15,5.7696902810988604e-15,7.327471962526033e-15,4.142519660632615e-15,2.242130092700023e-16,5.4539706084710815e-15,-1.5092094240998222e-16
79,15008,0.42,7.119305145408816e-15,1.2559397966072083e-14,5.374173328576148e-15,6.300515664747763e-15,2.7946395197986362e-15,-4.753142324176451e-16,4.359360095129716e-15,1.124100812432971e-15
80,18404,0.55,7.993605777301127e-15,8.895661984809067e-15,7.431555371084642e-15,7.761152831520235e-15,4.5640574652949795e-15,1.4137996329210978e-16,3.337607967779377e-15,1.3964523981613297e-16
81,11545,0.41,7.398595625041082e-15,8.715250743307479e-15,6.328271240363392e-15,5.176414852314792e-15,4.34038655711122e-15,2.8449465006019636e-16,5.963979310408263e-15,2.38524477946811e-16
82,19902,0.44,6.877311220510052e-15,1.0103029524088925e-14,6.019490461639521e-15,7.216449660063518e-15,4.208439152719734e-15,-2.1163626406917047e-16,5.222385024428178e-15,2.229119666630197e-16
83,11636,0.4458623364341421,9.395262345890387e-15,6.3976601794024646e-15,6.05765437811101e-15,5.287437154777308e-15,4.000272335602517e-15,2.905661822261152e-16,4.4114017994090204e-15,1.012211148232467e-15
84,19,0.65,7.174816296640074e-15,8.895661984809067e-15,6.2851742040070935e-15,7.471454011032108e-15,3.427813588530171e-15,1.491862189340054e-16,3.64031721433733e-15,1.3812735677465326e-16
85,6654,0.5765830917478891,7.913808497406194e-15,9.700573677662305e-15,6.19383017097519e-15,8.298917109073045e-15,5.488665077990618e-15,2.2724877535296173e-16,4.0870085094013575e-15,1.6479873021779667e-16
86,1639,0.54,7.480127628411992e-15,8.271161533457416e-15,6.368169880310859e-15,7.431555371084642e-15,4.551914400963142e-15,3.5475095083725705e-16,4.2630829422130034e-15,1.5742615544489524e-16
87,10140,0.6665981274095834,7.514822097931528e-15,7.632783294297951e-15,6.142655828433874e-15,7.61196661258623e-15,4.208439152719734e-15,3.9898639947466563e-17,5.4713178432308496e-15,2.194425197110661e-16
88,18330,0.6588660424698611,7.901665433074356e-15,8.770761894538737e-15,5.981326545168031e-15,7.178285743592028e-15,4.52589354882349e-15,2.5413698923060224e-16,4.125172425872847e-15,1.7694179454963432e-16
89,5461,0.68,7.91033905045424e-15,7.577272143066693e-15,6.257147577848343e-15,8.451572774959004e-15,4.933553565678039e-15,2.6020852139652106e-17,3.3237301799715624e-15,1.9212062496443139e-16
90,16981,0.66,7.629313847345998e-15,9.006684287271582e-15,6.224187831804784e-15,6.983996714282625e-15,4.343747583845925e-15,3.0704605524789486e-16,5.304784389537076e-15,1.5525775109992423e-16
91,20171,0.5,7.691763892481163e-15,8.215650382226158e-15,5.131312041939395e-15,7.875644580934704e-15,3.670674875166924e-15,5.724587470723463e-17,5.6066262743570405e-15,1.1310397063368782e-15
92,5705,0.6,6.781901429331327e-15,1.0963452368173421e-14,5.814793091474257e-15,8.069933610244107e-15,5.918876500032866e-15,3.2959746043559335e-16,5.204170427930421e-15,1.8691645453650096e-16
93,2139,0.49,9.825473767932635e-15,1.0311196341206141e-14,5.460909502374989e-15,3.58046925441613e-15,3.573530360512223e-15,-4.3281350725621337e-16,2.7478019859472624e-15,-5.811323644522304e-17
94,14096,0.77,7.183056233150964e-15,7.91033905045424e-15,6.085518373943888e-15,7.098488463697095e-15,3.805983306293115e-15,2.6020852139652106e-17,5.287437154777308e-15,1.6609977282477928e-16
95,10092,0.4388660424698611,7.834011217511261e-15,8.493206138382448e-15,6.751543768501733e-15,7.99707522425308e-15,4.454769886308441e-15,2.42861286636753e-16,3.854555563620465e-15,1.4311468676808659e-16
96,14047,0.75,8.156669784042947e-15,9.783840404509192e-15,5.854691731421724e-15,6.925016116099414e-15,3.864963904476326e-15,-1.6393136847980827e-16,5.80785419757035e-15,1.5005358067199381e-16
97,20346,0.69,6.612765890423589e-15,9.46465128492946e-15,4.683753385137379e-15,7.542577673547157e-15,3.795574965437254e-15,1.0061396160665481e-16,4.720182578132892e-15,5.551115123125783e-17
98,17074,0.64,6.6058269965196814e-15,8.1601392309949e-15,6.085409953726639e-15,7.521760991835436e-15,3.490263633665336e-15,2.480654570646834e-16,5.88418203051333e-15,2.5153490401663703e-16
99,11100,0.55,6.817463260588852e-15,9.256484467812243e-15,5.916708095687895e-15,7.558623865699943e-15,4.53109771925142e-15,2.0903417885520525e-16,5.547645676173829e-15,1.0581813203458523e-16
100,10818,0.78,8.11156697366755e-15,7.119305145408816e-15,5.925164872633282e-15,7.412473412848897e-15,5.349887199912473e-15,7.936359902593892e-17,5.551115123125783e-15,1.0755285551056204e-16
101,14773,0.41,7.40553451894499e-15,8.998010669891698e-15,6.491335247105212e-15,7.704774318550989e-15,5.294376048681215e-15,4.996003610813204e-16,3.8354736053847205e-15,1.448494102440634e-16
102,10929,0.62,9.381384558082573e-15,9.908740494779522e-15,6.2485281705770834e-15,5.839079220137933e-15,4.476453929758151e-15,-1.6306400674181987e-16,4.173744683200198e-15,1.6937609626475891e-16
103,10394,0.76,8.305856002976952e-15,7.78543896018391e-15,5.97915814082306e-15,7.45258889323086e-15,3.771288836773579e-15,-1.1275702593849246e-17,5.287437154777308e-15,1.5959455978986625e-16
104,11127,0.44,7.66053886991358e-15,1.067028410073334e-14,6.167809318835538e-15,6.036837696399289e-15,3.632510958695434e-15,6.418476861114186e-17,5.551115123125783e-15,1.2663481374630692e-16
105,10300,0.5553929787945698,9.33975119465913e-15,5.4817261840867104e-15,3.6914915568786455e-15,6.189493362285248e-15,4.537169251417339e-15,1.861575130157611e-16,4.1858877475320355e-15,1.973247953923618e-16
106,18292,0.57,7.0736602339471766e-15,9.395262345890387e-15,6.342149028171207e-15,6.827871601444713e-15,4.7253867485608225e-15,1.97758476261356e-16,3.299444051307887e-15,2.896988204881268e-16
107,13931,0.49,7.346120239892784e-15,7.230327447871332e-15,6.040307143351242e-15,6.5503158452884236e-15,4.224051664003525e-15,3.608224830031759e-16,5.684688830775997e-15,8.673617379884035e-17
108,3540,0.7176639275780384,8.843620280529763e-15,8.257283745649602e-15,6.175615574477433e-15,5.6751478516581244e-15,4.614798126967301e-15,-4.371503159461554e-16,4.207571790981746e-15,5.160802341031001e-17
109,10004,0.66,7.250276767845065e-15,9.270362255620057e-15,5.3184453369103935e-15,7.572067972638763e-15,3.0322966360074588e-15,1.6973185010260572e-16,5.249273238305818e-15,5.898059818321144e-16
110,10060,0.87,7.73686670285656e-15,6.869504964868156e-15,5.877893657912914e-15,7.478392904936015e-15,4.014150123410332e-15,2.5500435096859064e-16,4.628242233906121e-15,2.0231212538579513e-16
111,5515,0.5375133805597379,7.266756640866845e-15,9.46465128492946e-15,5.933946910230414e-15,7.402065071993036e-15,4.0419056990259605e-15,3.677613769070831e-16,5.1790169375287576e-15,8.673617379884035e-17
112,13644,0.4488660424698611,7.983197436445266e-15,1.0651202142497596e-14,5.914539691342924e-15,7.620640229966114e-15,1.8457457784393227e-15,-3.469446951953614e-18,4.8416132214512686e-15,1.0755285551056204e-16
113,16461,0.4488660424698611,7.518291544883482e-15,1.0595690991266338e-14,6.01428629121159e-15,7.939829349545846e-15,2.7755575615628914e-15,7.251144129583054e-16,3.5388358909926865e-15,1.5005358067199381e-16
114,4196,0.5958401626042205,8.112109074753793e-15,1.2122247650125928e-14,6.116634976294222e-15,5.266620473065586e-15,4.676814491233472e-15,-1.700029006457271e-16,4.189357194483989e-15,8.890457814381136e-18
115,498,0.7,8.701372955499664e-15,1.0769163338864018e-14,6.274494812608111e-15,7.28583859910259e-15,3.802513859341161e-15,4.874572967494828e-16,4.300379496946505e-15,2.445960101127298e-16
116,5114,0.49,7.592884654350485e-15,7.813194535799539e-15,7.077671781985373e-15,9.506284648352903e-15,6.2727600891321345e-15,-2.710505431213761e-17,3.615163723935666e-15,1.9905951886833861e-16
117,18021,0.4645502041276206,7.818236075901597e-15,7.618905506490137e-15,6.161439631072185e-15,5.9119376061289586e-15,4.7253867485608225e-15,3.2959746043559335e-16,4.198030811863873e-15,1.3357370765021415e-16
118,14233,0.7651717272696614,9.159339953157541e-15,1.1060596882828122e-14,6.106985576959101e-15,9.721390359374027e-15,5.113964807179627e-15,-7.37257477290143e-18,3.4382219293860317e-15,1.3314002678121994e-16
119,10529,0.5877001093930037,8.32320323773672e-15,9.658940314238862e-15,6.4080685202583254e-15,7.188694084447889e-15,4.5814047000547475e-15,5.48172618408671e-16,4.230123196169444e-15,2.0860049798621105e-16
120,9649,0.4278560877006495,8.042178034628478e-15,8.826273045769994e-15,6.952771691715043e-15,6.50868248186498e-15,5.322131624296844e-15,2.5673907444456745e-16,4.1234377023968705e-15,1.6946079955948434e-16
121,20182,0.87,7.0360384185619296e-15,8.174017018802715e-15,5.861630625325631e-15,7.854827899222983e-15,3.8935868418299435e-15,4.8138576458356397e-17,5.731526364627371e-15,1.951563910473908e-16
122,12614,0.46,7.206475000076651e-15,1.0057926713713528e-14,6.196432256189155e-15,7.93809462606987e-15,4.85722573273506e-15,8.81239525796218e-16,3.7903707950093235e-15,8.413408858487514e-17
123,14429,0.71,8.259018469125579e-15,1.0207112932647533e-14,6.5503158452884236e-15,6.283168429987995e-15,4.541506060107281e-15,3.187554387107383e-17,4.097416850257218e-15,1.5872719805187785e-16
124,18206,0.54,7.595920420433444e-15,1.0054457266761574e-14,6.255412854372366e-15,6.522560269672795e-15,3.7365943672540425e-15,-2.1163626406917047e-16,5.072331443756184e-15,1.5525775109992423e-16
125,14004,0.53,7.008282842946301e-15,9.652001420334955e-15,5.924080670460796e-15,5.6066262743570405e-15,2.7408630920433552e-15,-4.347650711666873e-17,5.384581669432009e-15,1.951563910473908e-16
126,10511,0.52,7.424616477180734e-15,8.951173136040325e-15,6.1825544683813405e-15,7.570333249162786e-15,3.858025010572419e-15,1.734723475976807e-17,5.287437154777308e-15,2.662800535624399e-16
127,9661,0.879780628024776,7.514822097931528e-15,1.1907141939104804e-14,5.834742411447991e-15,7.979727989493313e-15,4.49293380277993e-15,9.08995101411847e-16,3.809452753245068e-15,1.9125326322644298e-16
128,16557,0.64,9.398731792842341e-15,1.1046719095020308e-14,6.238065619612598e-15,5.10702591327572e-15,3.5388358909926865e-15,1.1796119636642288e-16,4.0192458736210135e-15,3.686287386450715e-17
129,20211,0.94,6.751543768501733e-15,8.965050923848139e-15,5.925815393936773e-15,7.240735788727193e-15,4.322930902134203e-15,3.903127820947816e-17,5.034167527284694e-15,1.700029006457271e-16
130,7671,0.47,7.657069422961627e-15,9.443834603217738e-15,5.419276138951545e-15,7.757683384568281e-15,3.1988300897012323e-15,1.695692197767329e-16,4.73232564246473e-15,6.453171330633722e-16
131,6395,0.5127192001341825,7.292777493006497e-15,8.874845303097345e-15,6.273627450870123e-15,6.904199434387692e-15,4.839878497975292e-15,1.7520707107365752e-16,4.375839968151496e-15,2.1423834928313568e-16
132,6194,0.42,8.142791996235133e-15,9.42648736845797e-15,6.100155103272442e-15,7.049916206369744e-15,4.6351811278100286e-15,4.543349203800506e-16,4.359360095129716e-15,2.5240226575462543e-16
133,15250,0.4269962505050252,7.632783294297951e-15,8.81239525796218e-15,6.114466571949251e-15,5.1486592766991635e-15,4.211908599671688e-15,4.0766001685454967e-16,4.184153024056059e-15,3.668940151690947e-16
134,14750,0.6452097903040069,7.341349750333848e-15,8.756884106730922e-15,6.303985111699717e-15,8.36136715420821e-15,3.1155633628543455e-15,-8.673617379884035e-18,5.1081101154482056e-15,1.6306400674181987e-16
135,13914,0.5145996405146623,7.362003801719696e-15,8.465450562766819e-15,2.706168622523819e-15,7.396860901565105e-15,3.587408148320037e-15,2.5153490401663703e-17,4.628242233906121e-15,7.320533068622126e-16
