instance_index,original_test_index,decile1,decile3,fam_inc,lsat,ugpa,gender,race1,fulltime,predicted_class,prediction_score,target_law
39,18011,1.0,1.0,3.0,24.0,2.6,0,3,1.0,1,0.97,1
40,2276,1.0,1.0,4.0,26.0,3.4,0,1,1.0,1,0.7156269923246583,1
41,10037,4.0,6.0,4.0,32.5,2.9,0,0,1.0,1,0.5493989425540886,0
42,18437,2.0,1.0,3.0,31.5,2.6,0,3,1.0,1,0.66,0
43,18167,4.0,3.0,2.0,23.0,2.6,1,3,2.0,1,0.42,1
44,16278,1.0,1.0,4.0,37.0,3.1,1,0,1.0,1,0.89,0
45,11598,2.0,1.0,3.0,36.0,2.8,1,0,1.0,1,0.5562036040933479,0
46,2595,3.0,3.0,3.0,25.5,3.4,0,1,2.0,1,0.46,0
47,14060,2.0,2.0,2.0,26.0,2.7,1,1,1.0,1,0.5,1
48,7665,1.0,1.0,4.0,31.0,2.4,1,4,1.0,1,0.5085562021555061,0
49,18127,1.0,3.0,2.0,24.0,2.6,0,4,1.0,1,0.51,1
50,6994,1.0,1.0,3.0,42.0,3.2,1,0,1.0,1,0.44,0
51,19123,3.0,2.0,3.0,37.0,3.8,0,2,1.0,1,0.5536582144329617,0
52,5916,1.0,2.0,4.0,26.5,3.2,1,0,1.0,1,0.47,1
53,19771,1.0,1.0,3.0,37.0,2.5,1,3,1.0,1,0.46,0
54,795,1.0,1.0,1.0,27.5,3.5,1,4,1.0,1,0.62,1
55,464,2.0,1.0,3.0,30.0,3.5,0,0,1.0,1,0.565997069963672,1
56,16392,3.0,2.0,3.0,31.5,3.1,1,0,1.0,1,0.6065981274095833,0
57,4294,4.0,5.0,4.0,35.0,3.3,1,0,1.0,1,0.6986028829330317,0
58,9991,1.0,1.0,1.0,24.0,2.9,0,3,1.0,1,0.6551900812578185,0
59,2606,3.0,2.0,3.0,31.0,3.4,0,1,1.0,1,0.48,1
60,10147,3.0,3.0,3.0,32.0,2.9,1,0,1.0,1,0.5341238119716928,0
61,7406,4.0,3.0,3.0,32.0,3.2,0,0,1.0,1,0.4,0
62,7338,2.0,2.0,3.0,35.0,3.2,0,0,1.0,1,0.8383939017215402,0
63,10508,2.0,2.0,4.0,32.0,2.9,1,0,1.0,1,0.40852132686649467,1
64,16495,3.0,2.0,2.0,29.0,3.0,1,1,1.0,1,0.68,1
65,14573,1.0,1.0,5.0,42.0,2.7,1,0,1.0,1,0.4788660424698611,0
66,11616,3.0,3.0,3.0,34.0,2.8,1,0,1.0,1,0.5728261771801528,0
67,10862,3.0,3.0,4.0,32.0,2.8,1,0,1.0,1,0.4649094808290174,0
68,9788,3.0,1.0,3.0,37.0,2.9,1,0,1.0,1,0.5673585118360693,1
69,740,1.0,2.0,4.0,31.0,3.5,0,0,1.0,1,0.49,1
70,7653,3.0,1.0,5.0,36.0,2.4,1,1,1.0,1,0.43939894255408873,0
71,18473,2.0,1.0,3.0,27.0,2.6,0,3,1.0,1,0.7868181191878983,0
72,10747,1.0,1.0,4.0,31.0,2.8,0,2,1.0,1,0.62,1
73,9478,1.0,1.0,5.0,27.0,2.9,1,3,1.0,1,0.45,1
74,7742,2.0,2.0,3.0,25.0,2.4,1,3,1.0,1,0.44,0
75,20368,1.0,1.0,3.0,30.0,2.1,1,4,1.0,1,0.72,0
76,20218,5.0,5.0,3.0,23.0,2.3,0,3,1.0,1,0.53,0
77,19932,2.0,1.0,2.0,35.0,2.5,1,4,1.0,1,0.49,1
78,9740,1.0,2.0,2.0,31.0,2.9,1,3,1.0,1,0.41,0
79,15008,4.0,6.0,4.0,37.0,3.1,1,0,2.0,1,0.42,0
80,18404,4.0,1.0,5.0,30.0,2.6,1,0,1.0,1,0.55,0
81,11545,3.0,2.0,4.0,37.0,2.8,1,3,1.0,1,0.41,0
82,19902,2.0,1.0,4.0,31.0,2.5,1,1,1.0,1,0.44,1
83,11636,1.0,1.0,5.0,38.0,2.8,1,0,2.0,1,0.4458623364341421,0
84,19,1.0,1.0,3.0,30.0,3.5,0,0,1.0,1,0.65,0
85,6654,2.0,1.0,4.0,35.0,3.2,0,0,1.0,1,0.5765830917478891,0
86,1639,3.0,2.0,4.0,35.5,3.5,1,0,1.0,1,0.54,0
87,10140,1.0,1.0,4.0,21.0,2.9,1,1,1.0,1,0.6665981274095834,1
88,18330,3.0,2.0,4.0,34.0,2.6,1,0,1.0,1,0.6588660424698611,0
89,5461,1.0,1.0,4.0,24.5,2.2,1,0,1.0,1,0.68,1
90,16981,1.0,1.0,1.0,26.5,3.0,0,1,1.0,1,0.66,0
91,20171,3.0,1.0,2.0,31.0,2.3,1,2,2.0,1,0.5,1
92,5705,3.0,1.0,3.0,18.0,3.2,0,3,1.0,1,0.6,1
93,2139,8.0,9.0,2.0,19.0,3.4,0,3,1.0,1,0.49,0
94,14096,2.0,1.0,4.0,20.0,2.7,0,3,1.0,1,0.77,1
95,10092,2.0,1.0,4.0,28.3,2.9,0,0,1.0,1,0.4388660424698611,0
96,14047,5.0,1.0,3.0,20.0,2.7,0,3,1.0,1,0.75,1
97,20346,1.0,1.0,2.0,23.5,2.1,0,3,1.0,1,0.69,1
98,17074,1.0,1.0,3.0,33.0,3.0,1,3,1.0,1,0.64,1
99,11100,3.0,2.0,3.0,30.0,2.8,0,3,1.0,1,0.55,1
100,10818,1.0,1.0,3.0,28.0,2.8,0,1,1.0,1,0.78,1
101,14773,4.0,3.0,4.0,31.0,3.1,0,0,1.0,1,0.41,0
102,10929,5.0,1.0,4.0,34.0,2.8,1,0,1.0,1,0.62,1
103,10394,1.0,1.0,4.0,29.0,2.9,0,3,1.0,1,0.76,0
104,11127,5.0,4.0,4.0,33.0,2.8,1,4,1.0,1,0.44,0
105,10300,1.0,1.0,5.0,38.0,2.9,1,0,1.0,1,0.5553929787945698,1
106,18292,3.0,2.0,3.0,24.0,2.6,1,0,1.0,1,0.57,0
107,13931,2.0,1.0,3.0,36.0,2.7,0,1,1.0,1,0.49,0
108,3540,5.0,3.0,4.0,35.0,3.4,0,0,1.0,1,0.7176639275780384,0
109,10004,3.0,1.0,3.0,27.0,2.9,0,3,2.0,1,0.66,1
110,10060,1.0,1.0,3.0,29.0,2.9,0,1,1.0,1,0.87,0
111,5515,1.0,1.0,3.0,28.0,2.2,0,3,1.0,1,0.5375133805597379,0
112,13644,1.0,2.0,3.0,28.0,3.7,0,3,1.0,1,0.4488660424698611,0
113,16461,1.0,2.0,3.0,31.0,3.0,0,0,1.0,1,0.4488660424698611,1
114,4196,9.0,9.0,4.0,40.0,3.3,1,0,1.0,1,0.5958401626042205,0
115,498,1.0,1.0,4.0,39.0,3.5,1,0,1.0,1,0.7,0
116,5114,1.0,1.0,5.0,22.5,3.3,0,0,1.0,1,0.49,1
117,18021,2.0,1.0,3.0,36.0,2.6,1,0,1.0,1,0.4645502041276206,0
118,14233,1.0,1.0,3.0,25.0,2.7,0,0,1.0,1,0.7651717272696614,1
119,10529,2.0,1.0,4.0,38.0,2.9,1,0,1.0,1,0.5877001093930037,1
120,9649,2.0,1.0,4.0,35.0,2.9,0,0,1.0,1,0.4278560877006495,0
121,20182,1.0,1.0,3.0,19.3,2.3,1,3,1.0,1,0.87,1
122,12614,4.0,3.0,3.0,30.0,3.7,0,0,1.0,1,0.46,0
123,14429,5.0,3.0,4.0,31.0,2.7,1,0,1.0,1,0.71,0
124,18206,5.0,4.0,3.0,24.0,2.6,1,3,1.0,1,0.54,0
125,14004,7.0,2.0,3.0,18.0,2.7,1,1,1.0,1,0.53,0
126,10511,4.0,1.0,2.0,30.0,2.9,1,3,1.0,1,0.52,1
127,9661,1.0,1.0,3.0,35.0,2.9,0,0,1.0,1,0.879780628024776,0
128,16557,6.0,9.0,4.0,35.0,3.0,0,0,1.0,1,0.64,0
129,20211,2.0,1.0,3.0,28.0,2.3,0,2,1.0,1,0.94,1
130,7671,3.0,2.0,2.0,20.7,2.4,1,3,2.0,1,0.47,1
131,6395,4.0,3.0,4.0,35.0,3.2,1,0,1.0,1,0.5127192001341825,1
132,6194,1.0,3.0,4.0,35.0,3.2,1,0,1.0,1,0.42,0
133,15250,1.0,2.0,3.0,36.0,3.1,1,0,1.0,1,0.4269962505050252,1
134,14750,1.0,1.0,4.0,26.0,3.1,1,1,1.0,1,0.6452097903040069,1
135,13914,2.0,2.0,1.0,25.0,2.7,0,3,2.0,1,0.5145996405146623,1
136,20049,2.0,2.0,3.0,25.0,2.5,0,3,1.0,1,0.72,0
137,11226,1.0,2.0,4.0,35.0,2.8,1,0,2.0,1,0.45,1
138,4716,2.0,2.0,5.0,37.5,3.3,1,0,1.0,1,0.46,1
139,2233,1.0,1.0,3.0,36.0,3.4,0,0,2.0,1,0.46,1
140,16416,4.0,1.0,4.0,34.0,3.0,0,0,1.0,1,0.51,1
141,16701,1.0,1.0,3.0,29.0,3.0,1,2,1.0,1,0.53,1
142,9940,4.0,1.0,4.0,34.0,2.9,0,0,1.0,1,0.55,0
143,20370,3.0,2.0,4.0,31.0,2.1,1,0,1.0,1,0.6,0
144,13790,3.0,3.0,2.0,20.0,2.7,0,3,1.0,1,0.52,1
145,13853,6.0,1.0,3.0,26.5,2.7,1,0,2.0,1,0.47,0
146,16248,2.0,2.0,4.0,40.0,3.1,0,0,1.0,1,0.7082649850239497,0
147,19970,1.0,1.0,2.0,36.0,2.5,1,0,1.0,1,0.5188660424698611,0
148,14354,6.0,4.0,3.0,38.0,2.7,1,0,1.0,1,0.52,1
149,7583,5.0,3.0,4.0,24.0,2.4,1,3,1.0,1,0.64,1
150,11449,5.0,3.0,2.0,22.0,2.8,0,3,2.0,1,0.59,0
151,15910,2.0,2.0,3.0,39.0,3.1,0,0,1.0,1,0.5527502201990087,0
152,12841,4.0,3.0,4.0,31.0,3.7,0,0,1.0,1,0.41,0
153,11141,2.0,1.0,3.0,26.0,2.8,0,3,1.0,1,0.8972270165111986,1
154,18058,1.0,1.0,4.0,30.0,2.6,0,2,1.0,1,0.68,1
155,18038,2.0,1.0,3.0,23.5,2.6,0,3,1.0,1,0.82,0
156,5545,3.0,1.0,3.0,22.0,2.2,0,3,1.0,1,0.78,1
157,19309,5.0,4.0,3.0,27.0,3.8,0,0,1.0,1,0.51,0
158,17768,5.0,5.0,4.0,30.5,3.0,1,0,1.0,1,0.46,0
159,596,1.0,1.0,3.0,25.0,3.5,0,3,1.0,1,0.6493989425540886,0
160,9401,3.0,1.0,3.0,26.0,3.6,0,3,1.0,1,0.5988660424698611,0
161,14032,2.0,2.0,3.0,32.3,2.7,0,1,2.0,1,0.44,1
162,2654,3.0,1.0,2.0,28.0,3.4,0,0,1.0,1,0.57,1
163,14738,1.0,1.0,4.0,31.0,3.1,0,2,1.0,1,0.5993989425540888,1
164,17673,3.0,2.0,4.0,38.0,3.0,1,0,1.0,1,0.7462557460465026,0
165,11398,10.0,10.0,3.0,32.0,2.8,0,0,1.0,1,0.48,0
166,17730,6.0,3.0,4.0,32.0,3.0,0,0,2.0,1,0.45,0
167,10768,1.0,1.0,2.0,30.0,2.8,0,4,1.0,1,0.5,1
168,15696,1.0,2.0,2.0,20.0,3.1,1,3,2.0,1,0.76,0
169,12790,1.0,1.0,4.0,37.0,3.7,1,0,1.0,1,0.6579630647466197,1
170,18219,4.0,1.0,2.0,27.0,2.6,0,4,2.0,1,0.47,1
171,5061,3.0,2.0,3.0,24.0,3.3,1,3,1.0,1,0.4988660424698611,1
172,20224,1.0,1.0,4.0,29.5,2.3,1,3,1.0,1,0.5962201297335445,1
173,17185,4.0,1.0,4.0,32.0,3.0,0,3,1.0,1,0.4495911026766997,1
174,4920,4.0,4.0,3.0,25.0,3.3,0,3,1.0,1,0.46,0
175,18481,1.0,1.0,2.0,34.0,2.6,0,3,1.0,1,0.69,0
176,3870,3.0,2.0,4.0,35.0,3.3,0,0,1.0,1,0.5293459222011282,0
177,2197,7.0,7.0,4.0,39.0,3.4,0,0,1.0,1,0.61,0
178,17928,3.0,2.0,3.0,29.5,3.0,0,0,1.0,1,0.41,0
179,10428,4.0,4.0,3.0,22.5,2.9,0,1,1.0,1,0.52,0
180,20322,1.0,1.0,2.0,28.0,2.1,1,3,1.0,1,0.8,0
181,16377,3.0,2.0,1.0,27.0,3.1,1,3,1.0,1,0.49,1
182,5068,3.0,5.0,3.0,33.0,3.3,0,0,1.0,1,0.4566155251141552,0
183,3637,3.0,2.0,4.0,36.5,3.3,0,0,1.0,1,0.40639921216011954,0
184,4053,1.0,1.0,4.0,27.0,3.3,0,3,1.0,1,0.73,1
185,14424,1.0,1.0,1.0,22.5,2.7,0,3,1.0,1,0.6282649850239498,0
186,20102,1.0,3.0,4.0,29.0,2.3,0,3,1.0,1,0.65,0
187,14551,1.0,1.0,3.0,31.0,2.7,0,0,2.0,1,0.54,0
188,18252,3.0,2.0,5.0,32.0,2.6,1,0,1.0,1,0.48796306474661977,0
189,19693,2.0,1.0,3.0,30.0,2.5,1,0,1.0,1,0.5,0
190,10097,1.0,1.0,2.0,26.0,2.9,1,3,1.0,1,0.66,1
191,19625,1.0,1.0,5.0,37.0,2.5,1,0,1.0,1,0.4796580675053824,1
192,10954,1.0,1.0,4.0,26.0,2.8,0,3,1.0,1,0.95,1
193,19072,1.0,1.0,4.0,39.0,3.8,0,0,1.0,1,0.44546616941978784,1
194,2680,1.0,1.0,3.0,29.5,3.4,0,0,1.0,1,0.68,1
195,5962,7.0,8.0,1.0,19.0,3.2,0,3,1.0,1,0.43,0
196,12776,1.0,1.0,4.0,29.5,3.7,1,3,1.0,1,0.4,0
197,14222,2.0,1.0,3.0,33.0,2.7,1,0,1.0,1,0.44,1
198,5056,1.0,1.0,3.0,35.0,3.3,0,0,1.0,1,0.5850206485096059,0
199,311,3.0,3.0,4.0,46.0,3.5,1,0,1.0,1,0.6047085251612626,1
200,248,1.0,2.0,4.0,36.0,3.5,0,0,2.0,1,0.4,1
201,16225,1.0,1.0,2.0,30.0,3.1,1,3,1.0,1,0.44,0
202,6813,1.0,1.0,3.0,35.0,3.2,1,0,1.0,1,0.47879788510817733,0
203,8150,1.0,1.0,3.0,25.0,3.6,0,3,1.0,1,0.6893989425540886,1
204,2031,5.0,4.0,3.0,28.5,3.4,1,0,1.0,1,0.52,0
205,7238,3.0,1.0,4.0,31.0,3.2,1,0,1.0,1,0.47,0
206,6240,1.0,1.0,2.0,23.0,3.2,0,2,1.0,1,0.6,1
207,16222,2.0,2.0,4.0,23.5,3.1,0,3,1.0,1,0.5172270165111987,0
208,10694,2.0,1.0,5.0,37.0,2.9,0,0,1.0,1,0.85,0
209,10841,2.0,3.0,5.0,35.0,2.8,1,0,1.0,1,0.7287978851081773,0
210,16291,1.0,1.0,3.0,30.0,3.1,1,1,1.0,1,0.63,1
211,9741,1.0,2.0,1.0,31.5,2.9,0,2,1.0,1,0.45,1
212,5753,8.0,1.0,4.0,28.5,3.2,0,0,1.0,1,0.47,0
213,20391,2.0,1.0,3.0,26.0,2.1,1,3,2.0,1,0.8,1
214,14639,2.0,2.0,3.0,28.0,3.1,0,3,1.0,1,0.41,0
215,19223,1.0,1.0,2.0,22.0,3.8,0,4,1.0,1,0.54,1
216,12928,1.0,4.0,3.0,41.0,3.7,1,0,1.0,1,0.41,0
217,18299,3.0,1.0,2.0,38.0,2.6,0,1,1.0,1,0.5579630647466197,0
218,14152,2.0,1.0,3.0,35.0,2.7,1,0,1.0,1,0.546189230086283,1
219,14108,1.0,1.0,3.0,32.0,2.7,0,3,1.0,1,0.4695911026766997,0
220,2455,1.0,1.0,3.0,29.0,3.4,0,3,1.0,1,0.49,1
221,2987,5.0,4.0,4.0,36.0,3.4,0,0,1.0,1,0.54381208123102,0
222,7476,2.0,3.0,4.0,27.0,2.4,1,0,2.0,1,0.63,1
223,10629,1.0,1.0,3.0,29.0,2.9,0,3,1.0,1,0.66,1
224,17096,2.0,1.0,4.0,27.0,3.0,0,0,1.0,1,0.558866042469861,0
225,20227,4.0,1.0,2.0,39.0,2.3,0,0,1.0,1,0.4577320849397222,1
226,9844,3.0,3.0,3.0,23.0,2.9,0,3,1.0,1,0.53,0
227,7534,4.0,2.0,2.0,24.0,2.4,1,3,1.0,1,0.63,1
228,9945,2.0,1.0,3.0,35.0,2.9,1,0,1.0,1,0.6991324141310246,1
229,15320,2.0,2.0,3.0,39.0,3.1,0,0,1.0,1,0.5527502201990087,0
230,7908,1.0,1.0,3.0,27.0,3.6,0,1,1.0,1,0.64,0
231,3975,2.0,4.0,3.0,31.0,3.3,0,0,1.0,1,0.46,0
232,16991,2.0,1.0,3.0,21.0,3.0,0,1,1.0,1,0.44,1
233,5792,3.0,4.0,3.0,23.0,3.2,0,3,1.0,1,0.72,0
234,10856,10.0,5.0,4.0,37.0,2.8,1,0,1.0,1,0.56,0
235,13560,3.0,1.0,2.0,36.0,3.7,0,0,2.0,1,0.46,0
236,15857,1.0,1.0,3.0,44.0,3.1,0,4,1.0,1,0.4979630647466198,0
237,14461,4.0,1.0,3.0,35.0,2.7,1,0,1.0,1,0.52,1
238,16771,3.0,2.0,4.0,37.5,3.0,1,0,1.0,1,0.64,0
239,1413,2.0,1.0,4.0,30.0,3.5,0,0,1.0,1,0.66,0
240,3854,5.0,2.0,4.0,28.0,3.3,1,0,1.0,1,0.4484571451465608,1
241,18596,1.0,1.0,1.0,18.0,2.6,1,3,1.0,1,0.84,1
242,11523,2.0,2.0,3.0,36.0,2.8,1,0,1.0,1,0.7888660424698611,0
243,10469,7.0,7.0,3.0,34.0,2.9,0,0,1.0,1,0.43,0
244,14661,1.0,1.0,2.0,32.0,3.1,1,4,1.0,1,0.64,0
245,2235,3.0,2.0,3.0,35.0,3.4,0,0,1.0,1,0.5025806993905282,0
246,19052,1.0,1.0,3.0,33.0,3.8,0,1,1.0,1,0.4,0
247,16107,1.0,1.0,3.0,28.0,3.1,0,3,1.0,1,0.6247672920135416,0
248,19878,1.0,1.0,4.0,40.0,2.5,1,0,1.0,1,0.5,1
249,11397,1.0,2.0,4.0,28.3,2.8,1,0,1.0,1,0.5392143311426755,0
250,20421,1.0,1.0,3.0,25.0,1.8,1,4,1.0,1,0.88,1
251,8010,3.0,2.0,3.0,27.0,3.6,0,0,1.0,1,0.61,0
252,20108,4.0,1.0,2.0,26.0,2.3,0,3,2.0,1,0.44,1
253,15981,1.0,1.0,2.0,28.0,3.1,1,3,1.0,1,0.5188660424698611,1
254,17110,3.0,1.0,4.0,36.0,3.0,0,0,1.0,1,0.67,1
255,13313,1.0,1.0,1.0,22.0,3.7,0,3,1.0,1,0.42,1
256,19906,2.0,2.0,2.0,36.0,2.5,1,0,1.0,1,0.568866042469861,0
257,7770,2.0,1.0,4.0,29.5,2.4,1,4,1.0,1,0.6977320849397222,1
258,1951,1.0,1.0,3.0,39.0,3.4,1,0,1.0,1,0.48406117409917365,0
259,5919,1.0,1.0,3.0,34.0,3.2,0,3,1.0,1,0.47,1
260,20373,3.0,2.0,4.0,34.0,2.1,1,0,1.0,1,0.46,0
261,6691,1.0,1.0,4.0,29.0,3.2,1,0,1.0,1,0.51,0
262,17548,3.0,2.0,4.0,34.0,3.0,1,0,1.0,1,0.6926911863906432,0
263,14477,4.0,3.0,3.0,27.0,2.7,1,0,2.0,1,0.41,0
264,20073,2.0,4.0,3.0,25.0,2.3,0,3,2.0,1,0.6,1
265,7520,2.0,2.0,3.0,32.0,2.4,1,3,1.0,1,0.51,0
266,9742,4.0,4.0,3.0,30.0,2.9,0,1,1.0,1,0.43,0
267,9861,8.0,4.0,3.0,21.5,2.9,1,3,1.0,1,0.43,1
268,5773,2.0,1.0,3.0,14.5,3.2,0,3,1.0,1,0.5071773958892952,1
269,11129,1.0,1.0,3.0,36.0,2.8,1,1,1.0,1,0.4,1
270,14896,4.0,3.0,3.0,32.0,3.1,0,0,1.0,1,0.4,1
271,14348,3.0,1.0,3.0,30.0,2.7,0,0,2.0,1,0.63,0
272,2985,10.0,10.0,4.0,45.0,3.4,0,0,1.0,1,0.66,0
273,20064,1.0,1.0,1.0,23.5,2.3,1,1,1.0,1,0.84,0
274,17627,1.0,1.0,4.0,25.5,3.0,1,3,1.0,1,0.6388660424698611,0
275,13862,7.0,4.0,4.0,31.0,2.7,1,0,1.0,1,0.46,0
276,6428,4.0,3.0,4.0,30.0,3.2,0,0,1.0,1,0.43,1
277,19677,1.0,1.0,3.0,22.0,2.5,1,3,1.0,1,0.89,1
278,7332,3.0,1.0,2.0,32.0,3.2,0,1,1.0,1,0.63,1
279,11244,1.0,1.0,4.0,40.0,2.8,0,0,1.0,1,0.6079630647466198,0
280,15099,2.0,1.0,2.0,25.5,3.1,1,0,1.0,1,0.74,0
281,15892,2.0,1.0,5.0,32.0,3.1,1,0,1.0,1,0.44,0
282,7641,2.0,2.0,3.0,30.0,2.4,0,0,2.0,1,0.51,0
283,8382,2.0,2.0,3.0,28.0,3.6,1,1,1.0,1,0.6588660424698611,0
284,19779,1.0,1.0,3.0,28.0,2.5,0,1,2.0,1,0.7596901596856449,1
285,7256,1.0,1.0,2.0,31.0,3.2,1,0,1.0,1,0.48,1
286,14497,1.0,1.0,4.0,31.0,2.7,1,0,1.0,1,0.76,1
287,15839,1.0,1.0,4.0,37.0,3.1,1,0,1.0,1,0.89,1
288,12903,2.0,1.0,3.0,33.0,3.7,1,1,2.0,1,0.48,1
289,7470,1.0,1.0,2.0,34.0,2.4,1,1,1.0,1,0.57,1
290,12231,4.0,3.0,3.0,33.0,3.9,1,0,1.0,1,0.63,0
291,18024,1.0,1.0,2.0,25.0,2.6,1,2,1.0,1,0.76,1
292,7922,4.0,3.0,4.0,28.0,3.6,0,2,2.0,1,0.52,0
293,9785,2.0,1.0,4.0,35.0,2.9,0,0,1.0,1,0.4278560877006495,1
294,9610,1.0,2.0,2.0,24.0,2.9,0,1,1.0,1,0.58,1
295,15792,1.0,1.0,3.0,27.0,3.1,1,3,1.0,1,0.46,1
296,17641,1.0,1.0,2.0,20.0,3.0,0,0,1.0,1,0.5988660424698611,1
297,19899,1.0,1.0,3.0,27.0,2.5,0,3,1.0,1,0.9063086731740436,0
298,2435,2.0,1.0,3.0,31.0,3.4,1,0,2.0,1,0.5,1
299,19803,1.0,1.0,3.0,28.0,2.5,0,3,1.0,1,0.5532465028984865,1
300,7523,1.0,1.0,3.0,19.0,2.4,1,3,2.0,1,0.76,1
301,19951,1.0,1.0,3.0,22.7,2.5,1,4,1.0,1,0.92,1
302,4835,5.0,4.0,3.0,33.5,3.3,1,0,2.0,1,0.4688660424698611,0
303,4959,2.0,2.0,2.0,28.0,3.3,0,0,1.0,1,0.45,1
304,10824,1.0,2.0,3.0,35.5,2.8,1,0,1.0,1,0.5993989425540887,0
305,10108,1.0,1.0,4.0,36.0,2.9,1,0,1.0,1,0.6856841616577595,0
306,10275,5.0,1.0,4.0,34.0,2.9,1,1,1.0,1,0.45,0
307,7655,5.0,3.0,3.0,25.0,2.4,1,3,1.0,1,0.63,1
308,17458,1.0,1.0,1.0,19.0,3.0,0,3,1.0,1,0.54,1
309,8321,2.0,2.0,3.0,22.7,3.6,1,0,1.0,1,0.4077892712061808,1
310,1308,1.0,2.0,3.0,26.0,3.5,0,3,1.0,1,0.65,0
311,2260,8.0,9.0,4.0,42.0,3.4,1,0,1.0,1,0.67,0
312,17970,2.0,1.0,3.0,27.0,3.0,1,3,1.0,1,0.4979630647466198,1
313,7705,2.0,1.0,1.0,30.0,2.4,0,1,1.0,1,0.56,0
314,14878,1.0,1.0,3.0,34.0,3.1,0,3,1.0,1,0.4466155251141552,1
315,10335,1.0,1.0,3.0,34.0,2.9,0,0,1.0,1,0.6821330864435527,0
316,11162,1.0,1.0,3.0,38.0,2.8,1,0,1.0,1,0.5468291072164808,0
317,16925,1.0,2.0,3.0,29.0,3.0,0,0,1.0,1,0.4,1
318,11690,2.0,2.0,4.0,27.5,2.8,0,1,1.0,1,0.41,0
319,2033,1.0,2.0,3.0,32.0,3.4,0,1,1.0,1,0.63,0
320,13889,5.0,4.0,3.0,28.0,2.7,0,3,2.0,1,0.45,0
321,12774,5.0,3.0,1.0,25.0,3.7,0,3,1.0,1,0.42,1
322,5942,2.0,1.0,4.0,31.0,3.2,0,0,1.0,1,0.6074817944949155,0
323,15780,5.0,1.0,4.0,29.5,3.1,0,2,1.0,1,0.47,1
324,1469,3.0,1.0,4.0,34.0,3.5,1,0,1.0,1,0.53,1
